"2017-07-14 13:29:13",A32-1406/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ  SENIŪNIJOS KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ AIKŠTELIŲ 2017-07-14 D. PATIKRINIMO AKTAS.","Files/Justiniškių/2017/07/14/46934833/Komunalinių atliekų ir antrinių žaliavų konteinerių aikštelių Viršuliškių seniūnijoje 2017.07.14 d. patikrinimo aktas.pdf"
"2017-07-14 13:22:53",A32-1405/17(2.1.15-S4),Justiniškių,"TERITORIJOS PATIKRINIMO AKTAS 2017.07.14","Files/Justiniškių/2017/07/14/46934740/Teritorijos patikrinimo aktas Nr.1.pdf"
"2017-07-13 11:26:25",A32-1369/17(2.1.15-S4),Justiniškių,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ JUSTINIŠKIŲ SEN. PATIKRINIMO AKTAS 2017.07.12","Files/Justiniškių/2017/07/13/46920059/Taikos g. 2.jpg"
"2017-07-12 13:02:13",A32-1347/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS 2017-07-11 D. PATIKRINIMO ALKTAS","Files/Justiniškių/2017/07/12/46908887/Viršuliškių seniūnijos  teritorijos 2017-07-12 d. patikrinimo aktas..pdf"
"2017-07-05 16:36:45",A32-1297/17(2.1.15-S4),Justiniškių,"VIRŠULIŠKIŲ SENIŪNIJOS TERITORIJOS ATLIEKŲ KONTEINERIŲ IR JŲ PASTATYMO VIETŲ BŪKLĖS ĮVERTINIMO 2017-07-04 D. AKTAS","Files/Justiniškių/2017/07/05/46863434/Viršuliškių g. 101 20170629  UAB Ecoservice, neišvežta seni baldai. (1N).jpg"
"2017-07-21 14:43:14",A32-1525/17(2.1.15-S5),Karoliniškių,"TERITORIJOS PATIKRINIMO AKTAS",Files/Karoliniškių/2017/07/21/47007323/Teritorijos+patikrinimo+aktas7.17-21.docx
"2017-07-14 15:08:50",A32-1412/17(2.1.15-S5),Karoliniškių,"TERITORIJOS PATIKRINIMO AKTAS","Files/Karoliniškių/2017/07/14/46937455/Teritorijos+patikrinimo+aktas 7.10-14.docx"
"2017-07-07 14:54:19",A32-1308/17(2.1.15-S5),Karoliniškių,"TERITORIJOS PATIKRINIMO AKTAS","Files/Karoliniškių/2017/07/07/46873215/Teritorijos+patikrinimo+aktas 703.-07..docx"
"2017-09-29 07:37:06",A32-2253/17(2.1.15-S6),Lazdynų,"KOMUNALINIŲ ATLIEKŲ IR ANTRINIŲ ŽALIAVŲ KONTEINERIŲ AIKŠTELIŲ PATIKRINIMO AKTAS 2017-09-28","Files/Lazdynų/2017/09/29/47626778/2017-09-28 Atliekų PATIKR aktas.docx"
"2017-09-27 13:26:04",A32-2233/17(2.1.15-S6),Lazdynų,"TERITORIJOS PATIKRINIMO AKTAS 2017-09-27","Files/Lazdynų/2017/09/27/47608650/Teritorijos+patikrinimo+aktas 2017-09-27.docx"
